Latitude,Longitude,Organization Name,City,State,Year,Project Description,Award Amount,Grant Iteration,Extra
-103.230889,44.081165,Baker Timber Products,Rapid City, SD,2007,,250000,FS WBU Grant,
-105.216289,35.595682,Barela Timber Management Co Inc,Las Vegas, NM,2007,,225000,FS WBU Grant,
-104.600319,44.68252,Bearlodge Forest Products Inc,Hulett, WY,2007,,250000,FS WBU Grant,
-78.642669,35.78551,Dept of Forestry NC State University,Raleigh, NC,2007,,247802,FS WBU Grant,
-78.561387,41.427935,Elk Regional Health System,St Marys, PA,2007,,250000,FS WBU Grant,
-113.896619,45.176675,Forest Fuels Solutions,Salmon, ID,2007,,250000,FS WBU Grant,
-109.950879,34.136225,High Country Green Waste LLC,Lakeside, AZ,2007,,249400,FS WBU Grant,
-89.138959,30.85911,Intrinergy LLC,Wiggins, MS,2007,,250000,FS WBU Grant,
-114.314901,48.20164,John Jump Trucking,Kalispell, MT,2007,,249000,FS WBU Grant,
-121.175874,44.27257,JTS Animal Bedding,Redmond, OR,2007,,250000,FS WBU Grant,
-78.811024,41.65996,Kane Area School District,Kane, PA,2007,,250000,FS WBU Grant,
-105.967474,36.647095,Kuykendall and Sons,Tres Piedras, NM,2007,,250000,FS WBU Grant,
-118.947808,44.416132,Malheur Lumber Company,John Day, OR,2007,,250000,FS WBU Grant,
-105.786067,33.156414,Mescalero Forest Products,Mescalero, NM,2007,,250000,FS WBU Grant,
-106.141125,38.08876,Mountain Valley Lumber,Saguache, CO,2007,,179260,FS WBU Grant,
-105.941364,40.086635,Mountain Parks Electric Inc,Granby, CO,2007,,242500,FS WBU Grant,
-121.292774,46.01842,Mt Adams Resource Stewards,Glenwood, WA,2007,,178746,FS WBU Grant,
-107.891004,35.171313,Mt Taylor Millwork Inc,Milan, NM,2007,,250000,FS WBU Grant,
-113.996234,46.87278,North Slope Sustainable Wood LLC,Missoula, MT,2007,,248950,FS WBU Grant,
-105.573529,36.449685,Olguin's Sawmill Inc,El Prado, NM,2007,,250000,FS WBU Grant,
-116.942964,43.78648,Parma Post and Pole Inc,Parma, ID,2007,,245180,FS WBU Grant,
-112.219939,38.23727,Piute County Economic Development,Junction, UT,2007,,250000,FS WBU Grant,
-112.075774,33.44826,Southwest Forest Products,Phoenix, AZ,2007,,250000,FS WBU Grant,
-105.941364,40.086635,Ranch Creek Limited,Granby, CO,2007,,144000,FS WBU Grant,
-116.566254,47.31627,St Maries Joint School District,St Maries, ID,2007,,250000,FS WBU Grant,
-122.675629,45.511795,Sustainable Northwest,Portland, OR,2007,,249560,FS WBU Grant,
-120.382174,37.98329,Bear Mountain Forest Products,Sonora,CA,2008,,250000,FS WBU Grant,
-113.196387,46.589056,Big Sky Shavings,Hall,MT,2008,,250000,FS WBU Grant,
-124.224549,43.40661,Coquille Tribe of Oregon,North Bend,OR,2008,,250000,FS WBU Grant,
-116.692589,43.66744,Diamond Ridge Lumber,Caldwell,ID,2008,,168200,FS WBU Grant,
-108.757984,33.7126,"K & B Timberworks, Inc",Reserve,NM,2008,,250000,FS WBU Grant,
-115.555174,48.388105,Kootenai Business Park Industrial District,Libby,MT,2008,,250000,FS WBU Grant,
-111.986429,46.465175,Marks Ranch and Lumber,Clancy,MT,2008,,211500,FS WBU Grant,
-119.766999,39.164885,Nevada Division of Forestry,Carson City,NV,2008,,250000,FS WBU Grant,
-105.329804,35.97416,Northridge Forest Products,Mora,NM,2008,,250000,FS WBU Grant,
-111.033184,45.679325,"Osler Logging, Inc.",Bozeman,MT,2008,,250000,FS WBU Grant,
-112.190754,35.25,Perkins Timber Harvesting,Williams,AZ,2008,,250000,FS WBU Grant,
-121.315584,44.05766,Quicksilver Contracting,Bend,OR,2008,,250000,FS WBU Grant,
-104.812914,40.07961,"Renewable Fiber, Inc.",Ft. Lupton,CO,2008,,250000,FS WBU Grant,
-103.859089,44.49057,"Sandford Logging, Inc.",Spearfish,SD,2008,,250000,FS WBU Grant,
-123.184701,40.553998,UpStream 21 Corporation,Hayfork,CA,2008,,250000,FS WBU Grant,
-123.184701,40.553998,Watershed Research and Training Center,Hayfork,CA,2008,,245000,FS WBU Grant,
-110.091025,34.468686,Winner's Circle Soil Products,Taylor,AZ,2008,,250000,FS WBU Grant,
-93.403524,34.94842,Rover Shavings & Post Inc,Rover, AR,2009,Increase production capacity,250000,FS WBU Grant,
-109.935471,34.125809,Pure Wood Products LLC,Pinetop, AZ,2009,Portable veneer lathe machine,250000,FS WBU Grant,
-120.424662,37.953407,California Wood Shavings Inc,Jamestown, CA,2009,Wood shaver,249550,FS WBU Grant,
-122.523084,41.647195,CLT Logging Inc,Grenada, CA,2009,Horizontal grinder,250000,FS WBU Grant,
-122.234056,40.639824,Franklin Logging Inc,Bella Vista, CA,2009,Feller buncher,250000,FS WBU Grant,
-124.155539,40.597565,Scott Dunn Logging,Fortuna, CA,2009,Drum chipper,250000,FS WBU Grant,
-122.936699,40.727765,Trinity River Lumber Company,Weaverville, CA,2009,Log scanner,250000,FS WBU Grant,
-105.873599,37.46818,Independent Log Company,Alamosa, CO,2009,Firewood processing,250000,FS WBU Grant,
-107.877619,38.478645,Intermountain Resources LLC,Montrose, CO,2009,Grinder,250000,FS WBU Grant,
-107.020374,40.48567,Rogue Resources inc/More Lumber,Milner, CO,2009,"Log lathe mill, firewood processor",250000,FS WBU Grant,
-116.707474,47.9478,Idaho Forest Group LLC,Athol, ID,2009,Horizontal grinder,250000,FS WBU Grant,
-113.996234,46.87278,Eagle Stud Mill Inc,Missoula, MT,2009,Post and pole mill,250000,FS WBU Grant,
-113.996234,46.87278,Eureka Pellet Mills Inc,Missoula, MT,2009,Diversification into bulk pellets,250000,FS WBU Grant,
