longitude,latitude,organization_name,city,state,year,project_description,award_amount,grant_iteration,extra,date,the_geom,cartodb_id,created_at,updated_at,cartodb_georef_status,column_1449770279916
,,Capital Regional Development Council,Concord,NH,2014,Claremont Hot Water District Energy System,250000,Wood-to-Energy,,2014-01-01 00:00:00+00,0101000020E6100000E353008C67E251C0A67EDE54A49A4540,123,2015-04-17 23:53:25.482888+00,2015-12-10 19:57:24.212936+00,true,
,,New Generation Biomass,Alamogordo,NM,2013,New Generation Biomass,250000,FS WBU Grant,http://www.newgenerationbiomass.com/,2013-01-01 00:00:00+00,0101000020E61000000CEA5BE6747D5AC0ACE28DCC23734040,116,2015-04-17 23:53:25.482888+00,2015-12-10 19:57:24.212936+00,true,
,,Ketchikan Gateway Borough,Ketchikan,AK,2013,Ketchikan Gateway Borough,143363,FS WBU Grant,http://www.borough.ketchikan.ak.us/,2013-01-01 00:00:00+00,0101000020E6100000CBF3E0EEAC7460C0C0046EDDCDAB4B40,111,2015-04-17 23:53:25.482888+00,2015-12-10 19:57:24.212936+00,true,
,,,,,,,,,,2016-01-01 12:06:39+00,,175,2015-04-20 19:06:34.197645+00,2015-12-10 19:57:24.212936+00,true,
,,Chilkoot Indian Association,Haines,AK,2013,Chilkoot Indian Association,35000,FS WBU Grant,http://www.chilkoot-nsn.gov/,2013-01-01 00:00:00+00,0101000020E610000048BF7D1D38EE60C05166834C329E4D40,110,2015-04-17 23:53:25.482888+00,2015-12-10 19:57:24.212936+00,true,
-78.642669,35.78551,Dept of Forestry NC State University,Raleigh,NC,2007,,247802,FS WBU Grant,,2007-01-01 00:00:00+00,0101000020E6100000CB49287D21A953C02A5778978BE44140,4,2015-04-17 23:53:25.482888+00,2015-12-10 19:57:24.212936+00,true,
-89.138959,30.85911,Intrinergy LLC,Wiggins,MS,2007,,250000,FS WBU Grant,,2007-01-01 00:00:00+00,0101000020E6100000081F4AB4E44856C0A4AA09A2EEDB3E40,8,2015-04-17 23:53:25.482888+00,2015-12-10 19:57:24.212936+00,true,
-78.811024,41.65996,Kane Area School District,Kane,PA,2007,,250000,FS WBU Grant,,2007-01-01 00:00:00+00,0101000020E61000005A1135D1E7B353C08655BC9179D44440,11,2015-04-17 23:53:25.482888+00,2015-12-10 19:57:24.212936+00,true,
-88.000304,45.232945,Olson Brothers Enterprises,Crivitz,WI,2009,Chipper,250000,FS WBU Grant,,2009-01-01 00:00:00+00,0101000020E6100000B68311FB040056C024624A24D19D4640,60,2015-04-17 23:53:25.482888+00,2015-12-10 19:57:24.212936+00,true,
-84.500319,38.48595,"EcoPower Generation, LLC",Lexington,KY,2011,Engineering study grant,250000,FS WBU Grant,,2011-01-01 00:00:00+00,0101000020E610000051A4FB39052055C0E0BE0E9C333E4340,81,2015-04-17 23:53:25.482888+00,2015-12-10 19:57:24.212936+00,true,
