Name,Status,YearClosed,Previous_Names,MillType,Feedstock,Products,Species,City,State,Zip,PrimaryKey,latitude,longitude
Blue Lake Forest Products,Idle,2003,,Sawmill,Logs,Lumber,,McKinleyville,CA,95519 ‎ ,9076,40.899185,-124.01923
Trinity River Korbel Sawmill,Active Project,2015,"Simpson Timber Co., Korbel, CA, California Redwood Company (Korbel)",Sawmill,Logs,Lumber,"Redwood, Douglas-fir",Korbel,CA,95518,9013,40.87184621,-123.9632726
SPI Arcata Sawmill,Idle,2016,Sierra Pacific Industries,Sawmill,Logs,Lumber,"Douglas-fir, Ponderosa Pine, Incense Cedar, True fir",Arcata,CA,95521,9017,40.865848,-124.152849
Rough & Ready Lbr. Co.,Liquidated,2016,,Sawmill,Logs,Lumber,"PP, DF (no WF or IC)",Cave Junction,OR,97523,9033,42.10528814,-123.6787754
SPI Anderson Pole Plant,Operational,,Sierra Pacific Industries,Pole Peeler,Logs,Post/Pole,"Douglas-fir, Ponderosa Pine",Anderson,CA,96007,9009,40.471835,-122.32435
SPI Anderson Sawmill,Operational,,Sierra Pacific Industries,Sawmill,Logs,Lumber,"Douglas-fir, Ponderosa Pine, Incense Cedar, Hemlock-fir, Sugar Pine",Anderson,CA,96007 ‎,9008,40.471498,-122.320991
Almquist Lumber Co,Operational,,,Small Production Mill,Logs,Lumber,Hardwood,Arcata,CA,95521,9010,40.911424,-124.067932
Arcata Forest Products Sawmill,Operational,,,Sawmill,Logs,Lumber,"RW, DF",Arcata,CA,95518,9012,40.901169,-124.071143
Mad River Lbr. Sawmill,Operational,,Mad River Lumber,Sawmill,Logs,Fence Boards,redwood,Arcata,CA,95521,9016,40.885948,-124.081698
Priority Pallets Sawmill,Operational,,Priority Pallets Sawmill,Sawmill,Logs,Lumber,"PP, SP, WF",Beaumont,CA,92223,9020,33.925539,-116.968097
South Coast Lbr. Veneer & Plywood and SouthCoast Lbr. Dimension & Stud Sawmills,Operational,,,Sawmill,Logs,Lumber,,Brookings,OR,97415,9024,42.052701,-124.290912
Shasta Green Sawmill,Operational,,Burney Forest Products (owned by Big Valley Lumber Company),Sawmill,Logs,Lumber,"Douglas-fir, Ponderosa Pine, Incense Cedar, True Fir",Burney,CA,96013,9026,40.8782226,-121.7266623
SPI Burney Sawmill,Operational,,"Scott Lumber, Publishers",Sawmill,Logs,Lumber,"Douglas-fir, Ponderosa Pine, Incense Cedar, Hemlock, Sugar Pine",Burney,CA,96013,9027,40.876365,-121.701786
Berry's Sawmill,Operational,,Berry Sawmill & Lumber Yard,Sawmill,Logs,Lumber,"RW, DF",Cazadero,CA,95421,9034,38.46454832,-123.0410353
Collins Chester Sawmill,Operational,,Collins Pine Co,Sawmill,Logs,Lumber,"Douglas-fir, Ponderosa Pine, Incense Cedar, true fir, Hemlock, Sugar Pine",Chester,CA,96020,9036,40.30330794,-121.2413703
SPI Chinese Camp Sawmill,Operational,,Sierra Pacific Industries,Sawmill,Logs,Fence Boards,"IC, WF",Chinese Camp,CA,95309,9037,37.88282739,-120.4536966
Redwood Empire (Cloverdale),Operational,,"Preston Lumber Corporation (Cloverdale Plant), Richardson Lumber",Sawmill,Logs,Lumber,"Redwood, Douglas-fir, Hemlock",Cloverdale,CA,95425,9039,38.820891,-123.018623
