Name,Status,MapLabet,MW_Name,Project_Types,Cogen,County,City,State,Zip,RecID,OldName,latitude,longitude,Employees,Owner
Blue Lake Rancheria,Active Project,Blue Lake Rancheria,0.8,H2 Gassifier and Ballard Fuel Cell,N,Humboldt,Blue Lake,CA,95525,59,,40.886347,-124.000079,,Blue Lake Rancheria
North Fork Community Power,Active Project,North Fork Community Power,2,downdraft gasifier,N/A,Madera,North Fork,CA,93643,60,,37.231861,-119.494599,,Unknown
Wilseyville BioMAT Project,Active Project,Wilseyville BioMAT Project,3,Biomass solid fuel,N/A,Calaveras,West Point,CA,95255,61,,38.37751,-120.523977,,Unknown
Placer County Biomass Power Project,Active Project,Placer County Biomass Power Project,2,Gasification,Y,Placer,Cabin Creek,CA,96161,30,,39.290828,-120.214074,,Placer County
Iberdrola Lakeview Project,Active Project,Iberdrola Lakeview Project,26.8,Biomass solid fuel,Y,Lake,Lakeview,OR,97630,53,,42.197586,-120.354345,,Iberdrola Renewables
Red Rock Biofuels,Active Project,Red Rock Biofuels,17.5,Fischer-Trope Process,N/A,Lake,Lakeview,OR,,135,,42.163105,-120.349209,,Red Rock Biofuels
Central Valley Ag Grinding,Active Project,Central Valley Ag Grinding,1,Gasification,Y,Stanislaus,Oakdale,CA,95361,58,,37.718988,-120.895545,,Central Valley Ag Grinding
Hat Creek BioMAT Project,Active Project,Hat Creek BioMAT Project,,Unknown,N/A,Shasta,Hat Creek,CA,,137,,40.83214935,-121.5149496,,
Nevada County BioMAT Project,Active Project,Nevada County BioMAT Project,,Unknown,N/A,Nevada,Nevada City,CA,,138,,39.26364317,-121.0133516,,
Camptonville BioMAT Project,Active Project,Camptonville BioMAT Project,,Unknown,N/A,Yuba,Camptonville,CA,,139,,39.45226864,-121.0484632,,
Mooretown Rancheria BioMAT Project,Active Project,Mooretown Rancheria BioMAT Project,,Unknown,N/A,Butte,Oroville,CA,,141,,39.46624093,-121.5218733,,
Crescent Mill BioMAT Project,Active Project,Crescent Mill BioMAT Project,,Unknown,N/A,Plumas,Crescent Mills,CA,,144,,40.09576776,-120.9081135,,
Valley Bio-Energy,Cancelled Project,Valley Bio-Energy,33,Biomass solid fuel,N,Stanislaus,Modesto,CA,95350,101,,37.6383,-120.999589,,Valley Bio-Energy
Placer County Biomass Power Project,Cancelled Project,Placer County Biomass Power Project,2,Gasification,Y,Placer,Kings Beach,CA,96143,107,,39.245133,-120.027133,,Placer County
Iberdrola Klamath Falls Project,Cancelled Project,Iberdrola Klamath Falls Project,,Unknown,Y,Klamath,Klamath Falls,OR,97601,54,,42.176324,-121.809231,,Iberdrola Renewables
Klamath Falls Bioenergy Project,Cancelled Project,Klamath Falls Bioenergy Project,,Unknown,N/A,Klamath,Klamath Falls,OR,97601,55,,42.174472,-121.822306,,Unknown
HFI BioPower,Cancelled Project,HFI BioPower,20,Unknown,N/A,Deschutes,La Pine,OR,97739,116,,43.668663,-121.486519,,HFI Bio Power Project LLC
Ortigalita Power,Cancelled Project,Ortigalita Power,1,Unknown,N/A,Merced,Los Banos,CA,,123,,36.979552,-120.870087,,Ortigalita Power Co.
Rialto Renewable Energy Center,Cancelled Project,Rialto Renewable Energy Center,40,Fischer-Tropsch reactor,N/A,San Bernardino,Bloomington,CA,,124,,34.052028,-117.359847,,"Rentech, Inc"
Diamond Walnut Biomass Power,Cancelled Project,Diamond Walnut Biomass Power,4.5,Biomass solid fuel,N,San Joaquin,Stockton,CA,95201,13,,37.950083,-121.254484,,Diamond Walnut
Bull Moose,Cancelled Project,Bull Moose,20,Unknown,N/A,San Diego,San Diego,CA,,110,,32.566906,-116.941888,,"Bull Moose Energy, LLC"
Envirepel Fallbrook,Cancelled Project,Envirepel Fallbrook,40,Unknown,N/A,San Diego,Fallbrook,CA,92028,112,,33.333935,-117.145164,,Envirepel
Envirepel Ramona,Cancelled Project,Envirepel Ramona,5,Unknown,N/A,San Diego,Ramona,CA,92065,114,,33.085519,-116.863258,,Envirepel
KittyHawk,Cancelled Project,KittyHawk,2,Unknown,N/A,San Diego,Vista,CA,92081,115,,33.147989,-117.235388,,Envirepel
Imperial Valley Biopower,Cancelled Project,Imperial Valley Biopower,20,Unknown,N/A,Imperial,Brawley,CA,92227,117,,32.903407,-115.534379,,Energy Integration Group
Liberty 1 Biofuels Power,Cancelled Project,Liberty 1 Biofuels Power,5,Unknown,N/A,Imperial,El Centro,CA,92251,118,,32.912743,-115.510335,,"Leucadia National Corporation, McCarthy Family Farms"
Sonoma Green Energy,Cancelled Project,Sonoma Green Energy,1,Unknown,N/A,Sonoma,Petaluma,CA,,126,,38.301876,-122.754976,,Sonoma Green Energy
Big Valley Biomass Power,Idle,Big Valley Biomass Power,,Biomass solid fuel,N,Lassen,Bieber,CA,96009,2,,41.132744,-121.137368,,NexBank
Renewable Energy Providers Blue Lake Power,Idle,Renewable Energy Providers Blue Lake Power,11,Biomass solid fuel,N,Humboldt,Blue Lake,CA,95525,3,,40.877693,-123.994609,,Renewable Energy Partners
Covanta Burney Mtn. Power,Idle,Covanta Burney Mtn. Power,11,Biomass solid fuel,N,Shasta,Burney,CA,96013,6,Covanta,40.909703,-121.639961,,Covanta
Covanta Delano Power,Idle,Covanta Delano Power,58,Biomass solid fuel,N,Kern,Delano,CA,93215,11,Covanta,35.719097,-119.234588,,Covanta
Imperial Valley Resource Recovery Power,Idle,Imperial Valley Resource Recovery Power,18,Biomass solid fuel,N,Imperial,El Centro,CA,92251,19,,32.906602,-115.51372,,Imperial Valley Resource Recovery
Shasta Renewable,Idle,Shasta Renewable,7.2,"Biomass solid fuel, Zurn Fixed Grate Boiler, Elliot Steam Turbine, Delta Generator",Y,Shasta,Anderson,CA,96007,20,"Wheelabrator Hudson, Kiara Solar",40.473227,-122.328937,,Shasta Renewable Resources/ White Oak Management
Madera Power,Idle,Madera Power,33,Biomass solid fuel,N,Fresno,Firebaugh,CA,93622,21,Yankee Energy,36.861479,-120.338865,,"Community Renewable Energy Services, Inc"
Covanta Mendota Power,Idle,Covanta Mendota Power,25,Biomass solid fuel,N,Fresno,Mendota,CA,93640,22,Covanta,36.755903,-120.365273,,Covanta
Covanta Mt. Lassen Power,Idle,Covanta Mt. Lassen Power,12,Biomass solid fuel,N,Lassen,Westwood,CA,96137,26,Covanta,40.296983,-121.018053,,Covanta
Covanta Pacific Oroville Power,Idle,Covanta Pacific Oroville Power,18,Biomass solid fuel,N,Butte,Oroville,CA,95965,27,Covanta,39.480996,-121.565567,,Covanta
Sierra Biomass Power Corp.,Idle,Sierra Biomass Power Corp.,9.5,Biomass solid fuel,Y,Tulare,Terra Bella,CA,93270,38,Terra Bella,35.953929,-119.046308,,Sierra Forest Products
SPI Loyalton Biomass Power,Idle,SPI Loyalton Biomass Power,20,Biomass solid fuel,N,Sierra,Loyalton,CA,96118,44,,39.669937,-120.239409,,SPI
Tracy Biomass Power,Idle,Tracy Biomass Power,23,Biomass solid fuel,N,San Joaquin,Tracy,CA,95377,48,,37.719987,-121.488451,,Thermal Energy Development Partnership
Air Products Stockton Biomass Power,Idle,Air Products Stockton Biomass Power,60,"Co-fire or conversion (from coal, petcoke or TDF)",Y,San Joaquin,Stockton,CA,95206,1,,37.912473,-121.261706,,Air Products
West Biofuels Gasifier Pilot,Idle,West Biofuels Gasifier Pilot,0.5,Gasification,N,Yolo,Woodland,CA,95776,50,,38.721719,-121.7544,,West Biofuels
Mesquite Lake Resource Recovery Power,Idle,Mesquite Lake Resource Recovery Power,18.5,Biomass solid fuel,N,Imperial,El Centro,CA,92227,24,Formerly Chateau,32.90381,-115.512373,,GreenHunter Energy Inc
Rough & Ready Power,Idle,Rough & Ready Power,1.5,Biomass solid fuel,Y,Josephine,Cave Junction,OR,97523,57,,42.106133,-123.677315,,Rough & Ready Lumber
