Name,Owner,Status,Cogen,MW_Nameplate,Project_Type,Employees,Previous_Name,City,State,County,latitude,longitude
Blue Lake Rancheria,Blue Lake Rancheria,Active Project,N,0.8,H2 Gassifier and Ballard Fuel Cell,,,Blue Lake,CA,Humboldt,40.886347,-124.000079
North Fork Community Power,Unknown,Active Project,N/A,2,downdraft gasifier,,,North Fork,CA,Madera,37.231861,-119.494599
Wilseyville BioMAT Project,Unknown,Active Project,N/A,3,Biomass solid fuel,,,West Point,CA,Calaveras,38.37751,-120.523977
Placer County Biomass Power Project,Placer County,Active Project,Y,2,Gasification,,,Cabin Creek,CA,Placer,39.290828,-120.214074
Iberdrola Lakeview Project,Iberdrola Renewables,Active Project,Y,26.8,Biomass solid fuel,,,Lakeview,OR,Lake,42.197586,-120.354345
Red Rock Biofuels,Red Rock Biofuels,Active Project,N/A,17.5,Fischer-Trope Process,,,Lakeview,OR,Lake,42.163105,-120.349209
Central Valley Ag Grinding,Central Valley Ag Grinding,Active Project,Y,1,Gasification,,,Oakdale,CA,Stanislaus,37.718988,-120.895545
Hat Creek BioMAT Project,,Active Project,N/A,,Unknown,,,Hat Creek,CA,Shasta,40.83214935,-121.5149496
Nevada County BioMAT Project,,Active Project,N/A,,Unknown,,,Nevada City,CA,Nevada,39.26364317,-121.0133516
Camptonville BioMAT Project,,Active Project,N/A,,Unknown,,,Camptonville,CA,Yuba,39.45226864,-121.0484632
Mooretown Rancheria BioMAT Project,,Active Project,N/A,,Unknown,,,Oroville,CA,Butte,39.46624093,-121.5218733
Crescent Mill BioMAT Project,,Active Project,N/A,,Unknown,,,Crescent Mills,CA,Plumas,40.09576776,-120.9081135
Valley Bio-Energy,Valley Bio-Energy,Cancelled Project,N,33,Biomass solid fuel,,,Modesto,CA,Stanislaus,37.6383,-120.999589
Placer County Biomass Power Project,Placer County,Cancelled Project,Y,2,Gasification,,,Kings Beach,CA,Placer,39.245133,-120.027133
Iberdrola Klamath Falls Project,Iberdrola Renewables,Cancelled Project,Y,,Unknown,,,Klamath Falls,OR,Klamath,42.176324,-121.809231
Klamath Falls Bioenergy Project,Unknown,Cancelled Project,N/A,,Unknown,,,Klamath Falls,OR,Klamath,42.174472,-121.822306
HFI BioPower,HFI Bio Power Project LLC,Cancelled Project,N/A,20,Unknown,,,La Pine,OR,Deschutes,43.668663,-121.486519
Ortigalita Power,Ortigalita Power Co.,Cancelled Project,N/A,1,Unknown,,,Los Banos,CA,Merced,36.979552,-120.870087
Rialto Renewable Energy Center,"Rentech, Inc",Cancelled Project,N/A,40,Fischer-Tropsch reactor,,,Bloomington,CA,San Bernardino,34.052028,-117.359847
Diamond Walnut Biomass Power,Diamond Walnut,Cancelled Project,N,4.5,Biomass solid fuel,,,Stockton,CA,San Joaquin,37.950083,-121.254484
Bull Moose,"Bull Moose Energy, LLC",Cancelled Project,N/A,20,Unknown,,,San Diego,CA,San Diego,32.566906,-116.941888
Envirepel Fallbrook,Envirepel,Cancelled Project,N/A,40,Unknown,,,Fallbrook,CA,San Diego,33.333935,-117.145164
Envirepel Ramona,Envirepel,Cancelled Project,N/A,5,Unknown,,,Ramona,CA,San Diego,33.085519,-116.863258
KittyHawk,Envirepel,Cancelled Project,N/A,2,Unknown,,,Vista,CA,San Diego,33.147989,-117.235388
Imperial Valley Biopower,Energy Integration Group,Cancelled Project,N/A,20,Unknown,,,Brawley,CA,Imperial,32.903407,-115.534379
Liberty 1 Biofuels Power,"Leucadia National Corporation, McCarthy Family Farms",Cancelled Project,N/A,5,Unknown,,,El Centro,CA,Imperial,32.912743,-115.510335
Sonoma Green Energy,Sonoma Green Energy,Cancelled Project,N/A,1,Unknown,,,Petaluma,CA,Sonoma,38.301876,-122.754976
Big Valley Biomass Power,NexBank,Idle,N,,Biomass solid fuel,,,Bieber,CA,Lassen,41.132744,-121.137368
Renewable Energy Providers Blue Lake Power,Renewable Energy Partners,Idle,N,11,Biomass solid fuel,,,Blue Lake,CA,Humboldt,40.877693,-123.994609
Covanta Burney Mtn. Power,Covanta,Idle,N,11,Biomass solid fuel,,Covanta,Burney,CA,Shasta,40.909703,-121.639961
Covanta Delano Power,Covanta,Idle,N,58,Biomass solid fuel,,Covanta,Delano,CA,Kern,35.719097,-119.234588
Imperial Valley Resource Recovery Power,Imperial Valley Resource Recovery,Idle,N,18,Biomass solid fuel,,,El Centro,CA,Imperial,32.906602,-115.51372
Shasta Renewable,Shasta Renewable Resources/ White Oak Management,Idle,Y,7.2,"Biomass solid fuel, Zurn Fixed Grate Boiler, Elliot Steam Turbine, Delta Generator",,"Wheelabrator Hudson, Kiara Solar",Anderson,CA,Shasta,40.473227,-122.328937
Madera Power,"Community Renewable Energy Services, Inc",Idle,N,33,Biomass solid fuel,,Yankee Energy,Firebaugh,CA,Fresno,36.861479,-120.338865
Covanta Mendota Power,Covanta,Idle,N,25,Biomass solid fuel,,Covanta,Mendota,CA,Fresno,36.755903,-120.365273
Covanta Mt. Lassen Power,Covanta,Idle,N,12,Biomass solid fuel,,Covanta,Westwood,CA,Lassen,40.296983,-121.018053
Covanta Pacific Oroville Power,Covanta,Idle,N,18,Biomass solid fuel,,Covanta,Oroville,CA,Butte,39.480996,-121.565567
Sierra Biomass Power Corp.,Sierra Forest Products,Idle,Y,9.5,Biomass solid fuel,,Terra Bella,Terra Bella,CA,Tulare,35.953929,-119.046308
SPI Loyalton Biomass Power,SPI,Idle,N,20,Biomass solid fuel,,,Loyalton,CA,Sierra,39.669937,-120.239409
Tracy Biomass Power,Thermal Energy Development Partnership,Idle,N,23,Biomass solid fuel,,,Tracy,CA,San Joaquin,37.719987,-121.488451
Air Products Stockton Biomass Power,Air Products,Idle,Y,60,"Co-fire or conversion (from coal, petcoke or TDF)",,,Stockton,CA,San Joaquin,37.912473,-121.261706
West Biofuels Gasifier Pilot,West Biofuels,Idle,N,0.5,Gasification,,,Woodland,CA,Yolo,38.721719,-121.7544
Mesquite Lake Resource Recovery Power,GreenHunter Energy Inc,Idle,N,18.5,Biomass solid fuel,,Formerly Chateau,El Centro,CA,Imperial,32.90381,-115.512373
Rough & Ready Power,Rough & Ready Lumber,Idle,Y,1.5,Biomass solid fuel,,,Cave Junction,OR,Josephine,42.106133,-123.677315
Buena Vista Biomass Power,Buena Vista Biomass,Idle,N,18.5,"Co-fire or conversion (from coal, petcoke or TDF)",,,Ione,CA,Amador,38.27792,-120.913763
Colton Renewable Energy Center,"Colton Renewable Energy Center, LLC",Liquidated,N/A,49.9,Unknown,,,Colton,CA,San Bernardino,34.06079,-117.345883
Sierra Biomass Power,Sierra Biomass LLC,Liquidated,N,15,Biomass solid fuel,,Auberry,Auberry,CA,Fresno,37.065354,-119.491147
Soledad Energy,Soledad Energy,Liquidated,N,,Biomass solid fuel,,,Soledad,CA,Monterey,36.416976,-121.315617
SPI Anderson I,SPI,Liquidated,Y,,Biomass solid fuel,,,Anderson,CA,Shasta,40.472715,-122.323162
Susanville Biomass Power Project,Laidlaw Energy Group,Liquidated,N,12.5,Biomass solid fuel,,SPI Susanville,Susanville,CA,Lassen,40.408256,-120.644821
Freshwater Pulp Biomass Power,Bob Simpson?,Liquidated,Y,50,Chemical recovery,,"Evergreen pulp, LP",Samoa,CA,Humboldt,40.805519,-124.195843
AES Delano,Aes Corp,Liquidated,N/A,50,Unknown,,,Delano,CA,Kern,35.721901,-119.233356
Amended and Restated Liberty V Biofuels,Liberty Composting,Liquidated,N/A,4.5,Unknown,,,Lost Hills,CA,Kern,35.679797,-119.796498
Wheelabrator No.4,Wheelabrator,Liquidated,N/A,3,Unknown,,,Cottonwood,CA,Shasta,40.428435,-122.2769
Korea East West Fairhaven Power,Korea East-West Power,Operational,N,19.8,Biomass solid fuel,,,Samoa,CA,Humboldt,40.79946,-124.20309
Humboldt Redwood Company Scotia Power,Humboldt Redwood Company,Operational,Y,32.5,Biomass solid fuel,,"Eel River Power, Scotia Power, PALCO",Scotia,CA,Humboldt,40.481337,-124.104634
Ortigalita Power Company,Ortigalita Power Co.,Operational,N,1,Gasification,,,Merced,CA,Merced,37.335114,-120.528724
