Name,Status,MapLabel,MWNameplate,Project_Type,Cogen_Status,County,City,State,Zip,RecID,Latitude,Longitude,OldName,Approval_Date,Delivery_Date,Contract_Term,IOU,PPA,MapIcon,RecID
Blue Lake Rancheria,Active development,Blue Lake Rancheria,0.8,Biomass solid fuel,not cogen,Humboldt County,Blue Lake,CA,95525,59,40.886347,-124.000079,,,,,SDG&E,,orange_circle,1
North Fork BioMAT Project,Active development,North Fork BioMAT Project,2,Biomass solid fuel,Unknown,Madera County,North Fork,CA,93643,60,37.231861,-119.494599,,,,10,PG&E,,orange_blank,2
Wilseyville BioMAT Project,Active development,Wilseyville BioMAT Project,3,Biomass solid fuel,Unknown,Calaveras County,West Point,CA,95255,61,38.37751,-120.523977,,11/8/2014,4/30/2010,15,SDG&E,ftp://ftp.cpuc.ca.gov/rps_ppas/Advice Letter 2000-E Blue Lake.pdf,grn_blank,3
Placer County,Active development,Placer County Biomass Power Project,2,Gasification,cogen,Placer County,Cabin Creek,CA,96161,30,39.290828,-120.214074,,,,,,,grn_blank,4
Quincy Proposed Project,Proposal,Quincy Project,3,Thermal,Unknown,Plumas County,Quincy,CA,95971,62,39.936666,-120.946199,,,,,,,grn_circle,5
Iberdrola Lakeview Project,Active development,Iberdrola Lakeview Project,26,Unknown,Unknown,Lake County,Lakeview,OR,97630,53,42.197586,-120.354345,Covanta,,,,,,orange_blank,6
Red Rock Biofuels LLC,Active Development,Red Rock Biofuels,17.5,Unknown,Unknown,,Lakeview,OR,,135,42.163105,-120.349209,,,,,,,grn_circle,7
Central Valley Ag Grinding,Active Development,Central Valley Ag Grinding,1,Gasification,cogen,Stanislaus County,Oakdale,CA,95361,58,37.718988,-120.895545,,12/11/2014,6/1/2011,20,PG&E,ftp://ftp.cpuc.ca.gov/RPS_PPAs/Global Common Chowchilla.zip,grn_blank,8
Valley Bio-Energy,Cancelled,Valley Bio-Energy,33,Biomass solid fuel,not cogen,Stanislaus County,Modesto,CA,95350,101,37.6383,-120.999589,,,,,,,grn_circle,9
Placer County,Cancelled,Placer County Biomass Power Project,2,Gasification,cogen,Placer County,Kings Beach,CA,96143,107,39.245133,-120.027133,Colmac,,,,,,grn_blank,10
Iberdrola Klamath Falls Project,Cancelled,Iberdrola Klamath Falls Project,,Unknown,Unknown,Klamath County,Klamath Falls,OR,97601,54,42.176324,-121.809231,Covanta,4/7/2014,1/1/2008,10,SDG&E,"ftp://ftp.cpuc.ca.gov, http://docs.cpuc.ca.gov/PublishedDocs/PUBLISHED/FINAL_RESOLUTION/66745.htm/RPS_PPAs/SDGE AES Delano 2008 Executed PPA.pdf",grn_blank,11
Klamath Falls Bioenergy Project,Cancelled,Klamath Falls Bioenergy Project,,Unknown,Unknown,Klamath County,Klamath Falls,OR,97601,55,42.174472,-121.822306,,,,,,,grn_blank,12
HFI BioPower,Cancelled,HFI BioPower,20,Unknown,Unknown,Deschutes County,La Pine,OR,97739,116,43.668663,-121.486519,,,,,,,wht_blank,13
Ortigalita Power Co.,Cancelled,Ortigalita Power,1,Unknown,Unknown,Merced,Los Banos,CA,,123,36.979552,-120.870087,,,,,PG&E,,grn_blank,14
Rialto Renewable Energy Center,Cancelled,Rialto Renewable Energy Center,40,Unknown,Unknown,San Bernardino,Bloomington,CA,,124,34.052028,-117.359847,,,,,,,grn_circle,15
Colton Renewable Energy Center,Cancelled,Colton Renewable Energy Center,49.9,Unknown,Unknown,San Bernardino,Colton,CA,92324,125,34.06079,-117.345883,,6/10/2014,6/30/2013,25,PG&E,,grn_circle,16
Big Valley Biomass Power/BVP Property,Idle,Big Valley Biomass Power,,Biomass solid fuel,not cogen,Lassen County,Bieber,CA,96009,2,41.132744,-121.137368,"Evergreen pulp, LP",,,,,,wht_circle,17
Blue Lake Power,Idle,Renewable Energy Providers Blue Lake Power,11,Biomass solid fuel,not cogen,Humboldt County,Blue Lake,CA,95525,3,40.877693,-123.994609,,,,,,,grn_blank,18
Burney Mountain Power,Idle,Covanta Burney Mtn. Power,11,Biomass solid fuel,not cogen,Shasta County,Burney,CA,96013,6,40.909703,-121.639961,,,,10,SCE/PG&E,,orange_blank,19
"Delano Energy Co, Inc",Idle,Covanata Delano Power,58,Biomass solid fuel,not cogen,Kern County,Delano,CA,93215,11,35.719097,-119.234588,"Wheelabrator Hudson, Kiara Solar",12/11/2014,,15,PG&E,,orange_circle,20
DG Fairhaven,Idle,Korea East West Fairhaven Power,19.8,Biomass solid fuel,not cogen,Humboldt County,Samoa,CA,95564,12,40.79946,-124.20309,Yankee Energy,10/3/2014,10/18/2003,5,PG&E,ftp://ftp.cpuc.ca.gov/RPS_PPAs/PGE_Madera/,orange_blank,21
Imperial Valley Resource Recovery Project,Idle,Imperial Valley Resource Recovery Power,,Biomass solid fuel,not cogen,Imperial County,El Centro,CA,92251,19,32.906602,-115.51372,Covanta,,,,,,orange_blank,22
Shasta Renewable,Idle,Shasta Renewable,7.2,Biomass solid fuel,cogen,Shasta County,Anderson,CA,96007,20,40.473227,-122.328937,El Nido,,,15,PG&E,,grn_blank,23
Madera Power LLC,Idle,Madera Power,33,Biomass solid fuel,not cogen,Fresno County,Firebaugh,CA,93622,21,36.861479,-120.338865,Formerly Chateau,,,15,SCE,,wht_blank,24
Mendota Biomass Power Ltd.,Idle,Covanta Mendota Power,25,Biomass solid fuel,not cogen,Fresno County,Mendota,CA,93640,22,36.755903,-120.365273,,2/10/2014,1/30/2012,15,PG&E,,grn_circle,25
Mt. Lassen Power,Idle,Covanta Mt. Lassen Power,12,Biomass solid fuel,not cogen,Lassen County,Westwood,CA,96137,26,40.296983,-121.018053,Covanta,,,,,,orange_blank,26
Pacific Oroville Power Inc.,Idle,Covanta Pacific Oroville Power,18,Biomass solid fuel,not cogen,Butte County,Oroville,CA,95965,27,39.480996,-121.565567,Covanta,,,,,,orange_blank,27
Eel River,Operational,Eel River Power,32.5,Biomass solid fuel,cogen,Humboldt County,Scotia,CA,95565,36,40.481337,-124.104634,,,,,,,grn_blank,28
Sierra Power Corp.,Idle,Sierra Biomass Power Corp.,9.5,Biomass solid fuel,cogen,Tulare County,Terra Bella,CA,93270,38,35.953929,-119.046308,,,,,,,orange_blank,29
SPI Loyalton,Idle,SPI Loyalton Biomass Power,20,Biomass solid fuel,not cogen,Sierra County,Loyalton,CA,96118,44,39.669937,-120.239409,,,,,,,ylw_circle,30
Tracy Biomass Plant,Idle,Greenleaf Tracy Biomass Power,23,Biomass solid fuel,not cogen,San Joaquin County,Tracy,CA,95377,48,37.719987,-121.488451,,,,,,,grn_blank,31
Air Products Stockton,Idle,Air Products Stockton Biomass Power,60,"Co-fire or conversion (from coal, petcoke or TDF)",cogen,San Joaquin County,Stockton,CA,95206,1,37.912473,-121.261706,,,,,,,purple_circle,32
Ortigalita Power Co.,Idle,Ortigalita Phoenix,,Gasification,not cogen,Merced County,Merced,CA,95348,29,37.335114,-120.528724,,,,15,SCE,http://docs.cpuc.ca.gov/Published/Final_resolution/23293.htm,purple_circle,33
West Biofuels,Idle,West Biofuels Gasifier Pilot,,Gasification,not cogen,Yolo County,Woodland,CA,95776,50,38.721719,-121.7544,,,,,,,grn_blank,34
