latitude,longitude,MapLabel,Status,MillType,Products,Feedstock,Species,CIty,State,Zip,RecordEditor
42.052701,-124.290912,South Coast Lbr. Veneer & Plywood and SouthCoast Lbr. Dimention & Stud Sawmills,Open,,,,,,,,Larry Swan
40.80577621,-124.1958033,Evergreen Pulp,Closed,,,,,,,,Larry Swan
40.79719014,-124.1815646,Schmidbauer Lbr. Co. Sawmill,Open,sawmill,,,, Eureka,CA,95501,Larry Swan
41.75348006,-124.1753922,Hambro Forest Products Particle Bd.,Closed,composite panel,particle board,,, Crescent City,CA,95531,Larry Swan
40.865848,-124.152849,SPI Arcata Sawmill,Open,sawmill,,,, Arcata,CA,95521,Larry Swan
40.483615,-124.102748,Humboldt Redwood Co. Sawmill,Open,sawmill,,,,Scotia,CA,95565,Larry Swan
40.885948,-124.081698,Mad River Lbr. Sawmill,Open,sawmill,,,, Arcata,CA,95521,Larry Swan
40.899619,-124.075427,Humboldt Flakeboard Particle Bd.,Liquidated,composite panel,particle board,,, Arcata,CA,95521,Larry Swan
40.899932,-124.074716,Hambro Forest Products-Humboldt Flakeboard Panels,Closed,5,,,,Arcata,CA,95521,Rick Satomi
40.901169,-124.071143,Arcata Forest Products Sawmill,Open,sawmill,,,,Arcata,CA,95518,Larry Swan
40.911424,-124.067932,Almquist Lumber Co,Open,sawmill,,,,Arcata,CA,95521,Rick Satomi
40.911269,-124.066971,Redwood Burl (former site of ERA Forest Products?),Open,10,,,,Arcata,CA,95521,Rick Satomi
41.29238545,-124.0517323,"California Redwood Co., Orick Sawmill",Liquidated,sawmill,,,,,CA,,Larry Swan
40.87184621,-123.9632726,"California Redwood Co., Korbel Sawmill",Open,sawmill,,,,Arcata,CA,95518,Larry Swan
42.10528814,-123.6787754,Rough & Ready Lbr. Co.,Closed,,,,,,,,Larry Swan
39.65411548,-123.6269559,Harwood Products Sawmill,Liquidated,sawmill,,,,Branscomb,CA,95417,Larry Swan
39.066464,-123.442657,Redwood Empire Philo Sawmill,Closed,sawmill,,,, Philo,CA,95466,Larry Swan
39.403232,-123.358427,Willits Redwood Sawmill,Open,sawmill,,,, Willits,CA,95490,Larry Swan
38.724912,-123.341558,Annapolis Milling Co Inc,Closed,secondary processing,,,,Annapolis,CA,95412,Rick Satomi
39.8174833,-123.20695,Covelo Old LP Mill,Unknown,,,,,,,,Peter Tittmann
39.183738,-123.203868,Mendocino Forest Products Sawmill,Open,sawmill,,,, Ukiah,CA,95482,Larry Swan
39.17958875,-123.2036368,Agwood Mill & Lbr.,Open,sawmill,Redwood lumber and dimension lumber.,logs,"DF, redwood", Ukiah,CA,95482,Larry Swan
42.424954,-123.162117,Murphy Plywood Layup,Open,,,,,,,,Larry Swan
39.380906,-123.106023,Potter Valley Old LP Mill,Unknown,,,,,Potter Valley,CA,95469,Larry Swan
38.46454832,-123.0410353,Berry's Sawmill,Open,sawmill,,,, Cazadero,CA,95421,Larry Swan
38.820891,-123.018623,Redwood Empire Cloverdale Sawmill,Open,sawmill,,,, Cloverdale,CA,95425,Larry Swan
40.72493045,-122.9306377,Trinity River Lbr Co. Sawmill,Open,sawmill,,,, Weaverville,CA,96093,Larry Swan
42.346976,-122.889142,Sierra Pine MDF & Particle Bd.,Open,,,,,,,,Larry Swan
42.435871,-122.866862,Timber Products Co. Particle Board and Plywood Mills,Open,,,,,,,,Larry Swan
42.43270557,-122.8592083,Murphy Plywood,Open,,,,,,,,Larry Swan
42.433787,-122.858651,Murphy Co. Veneer,Open,,,,,,,,Larry Swan
42.430189,-122.852102,Boise Wood Products Veneer/LVL/Plywood,Open,,,,,,,,Larry Swan
41.737758,-122.593349,Fruit Growers Supply Company,Proposed,,,,,Yreka,CA,96097,Larry Swan
41.73064723,-122.5929565,Timber Products Veneer Mill,Open,veneer,,,, Yreka,CA,96097,Larry Swan
39.885429,-122.541257,Crane Mills,Unknown,,,,,Paskenta, CA ,96074,Larry Swan
39.587495,-122.540479,Commander Lumber Co.,Unknown,,,,,Elk Creek,CA,,Larry Swan
40.675837,-122.380149,SPI Shasta Lk. Sawmill,Open,sawmill,,,, Shasta Lake,CA,96019,Larry Swan
41.43245271,-122.3794955,Roseburg Forest Products Veneer Mill,Open,veneer,"Veneer, Biomass",,, Weed,CA,96094,Larry Swan
41.433163,-122.37823,JH Baxter Wood Preservation,Unknown,,,,,,,,Larry Swan
40.484703,-122.345292,Sound Stud Sawmill,Closed,sawmill,,,,Yuba City,CA,96007,Larry Swan
40.471498,-122.320991,SPI Anderson Sawmill,Open,,,,, Anderson,CA,96007,Larry Swan
37.090154,-122.273326,Big Creek Lbr. Co. Sawmill,Open,sawmill,,,, Davenport,CA,95017,Larry Swan
40.12963114,-122.1878034,Lassen Forest Products,Open,13,bark,,,Red Bluff ,CA,96080,Larry Swan
42.04369796,-121.8719792,Southern Oregon Post & Pole,Open,,,,,,,,Larry Swan
42.17236992,-121.8265397,Collins Particle Bd.,Open,,,,,,,,Larry Swan
42.17071695,-121.8186025,Collins Hardboard,Open,,,,,,,,Larry Swan
42.25325412,-121.8060077,Jeld-Wen MDF,Open,,,,,,,,Larry Swan
42.25647449,-121.8046141,Jeld-Wen Thomas Lbr. Sawmill,Open,,,,,,,,Larry Swan
42.1796987,-121.8005483,Columbia Forest Products Plywood,Open,,,,,,,,Larry Swan
40.8782226,-121.7266623,Shasta Green Sawmill,Open,sawmill,,,, Burney,CA,96013,Larry Swan
40.876365,-121.701786,SPI Burney Sawmill,Open,,,,, Burney,CA,96013,Larry Swan
39.08601607,-121.570966,American Wood Fiber,Open,,,,, Olivehurst,CA,95961,Larry Swan
39.48193681,-121.5632263,SPI Oroville Cedar Sawmill,Open,sawmill,,,, Oroville,CA,95965,Larry Swan
39.10472026,-121.5615753,Sierra Cedar Products Sawmill,Liquidated,sawmill,,,,Marysville,CA,95901,Larry Swan
39.486749,-121.560309,California Hotwoods,Open,9,,,,Oroville,CA,95965,Rick Satomi
38.80935591,-121.3173498,Mallard Creek Shavings/Pellets,Open,"13, 17",,,,Rocklin,CA,95765,Larry Swan
38.90448023,-121.3070281,SPI Lincoln Sawmill,Open,,,,, Lincoln,CA,95648,Larry Swan
40.30330794,-121.2413703,Collins Pine Co. Sawmill,Open,sawmill,,,, Chester,CA,96020,Larry Swan
38.801777,-121.218444,SierraPine Rocklin MDF,Liquidated,composite panel,MDF,,, Rocklin,CA,95677,Larry Swan
38.153031,-121.160788,Kellogg Garden Products,Unknown,13,bark,,,Lockeford,CA,95237,Rick Satomi
41.131333,-121.136074,BVP Property Sawmill,Proposed,,,,,,,,
39.238323,-121.089604,Kubich Lumber Co,Open,sawmill,,,,Grass Valley,CA,95945,Rick Satomi
38.931575,-121.089077,California Hardwood Co,Unknown,sawmill,,,,Auburn CA,CA,95603,Rick Satomi
38.001176,-121.026257,Scotts Company,Open,13,,,,Linden,CA,95236,Rick Satomi
39.93866858,-120.9112616,SPI Quincy Sawmill,Open,,,,, Quincy,CA,95971,Larry Swan
38.68025217,-120.8446384,El Dorado Northern Sawmill,Open,,,,,,,,Larry Swan
38.379883,-120.798731,SierraPine Martell Particle Bd.,Open,composite panel,Particle Board,,, Sutter Creek,CA,95685,Larry Swan
38.738874,-120.681931,SPI Camino Sawmill,Closed,sawmill,,,, Camino,CA,95709,Larry Swan
37.83790896,-120.5063675,SPI Keystone Bark Plant,Open,13,,,,Jamestown,CA,96019,Larry Swan
37.83896858,-120.5037001,California Wood Shavings,Open,"shavings, 13",,,,Jamestown,CA,95327,Larry Swan
37.88282739,-120.4536966,SPI Chinese Camp Sawmill,Open,sawmill,,,, Chinese Camp,CA,95309,Larry Swan
42.20383551,-120.3526727,Collins Fremont Sawmill,Open,,,,,,,,Larry Swan
37.96333505,-120.3174788,SPI Sonora Standard Sawmill,Open,,,,, Sonora,CA,95370,Larry Swan
38.002344,-120.263451,Deutschman Lumber Co.,Open,sawmill,,,,Sonora,CA,95370-8910,Rick Satomi
35.95409644,-119.0489178,Sierra Forest Products Sawmill,Open,,,,, Terra Bella,CA,93270,Larry Swan
35.093919,-118.910765,West Coast Forest and Cinder Products( Formerly Pacific Coast Forest Products),Open,13,bark/mulch,,,Arvin,CA,93203,Rick Satomi
34.004194,-117.615815,Kellogg Garden Products,Unknown,14,bark,,,Ontario,CA,91761,Rick Satomi
33.925539,-116.968097,Priority Pallets Sawmill,Open,sawmill,,,,Beaumont,CA,92223,Larry Swan
33.597736,-116.21419,"California Bio- Mass, Inc",Unknown,13,,,,Thermal,CA,92274,Rick Satomi
