latitude,longitude,Name,Owner_Current,Contact,Status,YearClosed,Names_Prior_Manual,Names_Prior_Directory,Owner_Prior,MillType,Feedstock,Products,Species,LogDiamMIN,Phone,City,State,Zip,RecordEditor,Source,,PrimaryKey
42.052701,-124.290912,South Coast Lbr. Veneer & Plywood and SouthCoast Lbr. Dimension & Stud Sawmills,,,Open,,,,,Sawmill,Logs,Lumber,,,,Brookings,OR,97415,Larry Swan,,,9024
40.726151,-124.219677,Pozun Brothers,,,Closed,1977,,,,Sawmill,Logs,,,,,Fields Landing,CA,,,,,9202
40.80577621,-124.1958033,Evergreen Pulp,Freshwater Tissue Co?,,Closed,2010,"Louisiana Pacific, GP, Simpson, ETC",,,Pulp Mill,Chips,Pulp,,,,Samoa,CA,,Larry Swan,,,9102
41.75699,-124.192585,McNamara & Peepe Lumber (Crescent City),,,Closed,1987,,,,Sawmill,Logs,,,,,Crescent City,CA,,,,,9193
41.790809,-124.187742,Diebold Mills,,,Closed,1971,,,,Sawmill,Logs,,,,,Smith River,CA,,,,,9267
41.793081,-124.1869,Northcrest,,,Closed,1987,,,,Sawmill,Logs,,,,,Crescent City,CA,,,,,9194
41.791097,-124.18658,B&R Sawmills Inc,,,Closed,1974,,,,Sawmill,Logs,,,,,Crescent City,CA,,,,,9190
40.79719014,-124.1815646,Schmidbauer Lbr. Co. Sawmill,,,Open,,Schmidbauer Lumber,,,Sawmill,Logs,Lumber,"Redwood, Douglas-fir, Hemlock",,(707) 443-7089,Eureka,CA,95501,Larry Swan,,,9001
41.75348006,-124.1753922,Hambro Forest Products Particle Bd.,,,Closed,2012,"Hambro Forest Products, Inc.",,,Composite Panel,"Chips, Shavings, Sawdust",Particleboard,,,(707) 464-6131,Crescent City,CA,95531,Larry Swan,,,9041
40.596786,-124.160365,Crown Redwood,,,Closed,1977,,,,Sawmill,Logs,,,,,Fortuna,CA,,,,,9206
40.865848,-124.152849,SPI Arcata Sawmill,Sierra Pacific Industries,Jerry Kelly Division Mgr,Open,,Sierra Pacific Industries,,,Sawmill,Logs,Lumber,"Douglas-fir, Ponderosa Pine, Incense Cedar, True fir",,(707) 443-3111,Arcata,CA,95521,Larry Swan,,,9017
40.587407,-124.152061,Pacific Lumber Company,,,Closed,2003,,,,Sawmill,Logs,Lumber,,,,Fortuna,CA,,Rick Satomi,Random Lengths,,9052
40.865432,-124.151866,Brightwood Lumber,,,Closed,1973,,,,Sawmill,Logs,,,,,Arcata,CA,95521,,,,9164
40.539708,-124.146753,Enevoldsen Lumber,,,Closed,1975,,,,Sawmill,Logs,,,,,Fortuna,CA,,,,,9208
40.557569,-124.145619,CW Mills,,,Closed,1995,,,,Sawmill,Logs,Lumber,,,,Fortuna,CA,,Rick Satomi,Random Lengths,,9049
41.92688,-124.14166,Simonson Lumber-Logging Company (2 mills),,,Closed,1983,,,,Sawmill,Logs,,,,,Smith River,CA,,,,,9268
40.513799,-124.124075,Eel River (Mill A),,,Closed,2007,,,,Sawmill,Logs,Lumber,"Redwood, Douglas-fir, Hemlock",,,Fortuna,CA,,Rick Satomi,Random Lengths,,9051
40.545985,-124.120544,Eel River (Alton),,,Closed,1991,,,,Sawmill,Logs,Lumber,,,,Fortuna,CA,,Rick Satomi,Random Lengths,,9050
40.483615,-124.102748,Humboldt Redwood Co. Sawmill,Humboldt Redwood Company,Mike Cameron Sales Manager,Open,,"Pacific Lumber Co., Scotia, CA",,Palco Mill,Sawmill,Logs,Lumber,"DF, Redwood",,707-764-4341,Scotia,CA,95565,Larry Swan,,,9103
41.149698,-124.102111,Louisiana Pacific (Trinidad),Louisiana Pacific,,Closed,1999,Hammond Lumber Company,,,Sawmill,Logs,Lumber,,,,Trinidad,CA,,Rick Satomi,Random Lengths,,9114
41.735486,-124.097305,Miller Redwood,,,Closed,1995,,,,Sawmill,Logs,Lumber,,,,Crescent City,CA,,Rick Satomi,Random Lengths,,9042
40.86811,-124.092833,All-Brite Lumber Company (Arcata),,,Closed,1976,,,,Sawmill,Logs,,"RW, DF",,,Arcata,CA,95521,,,,9162
40.880272,-124.087932,Twin Parks Lumber,,,Closed,1979,,,,Sawmill,Logs,,,,,Arcata,CA,95521,,,,9168
40.885948,-124.081698,Mad River Lbr. Sawmill,,,Open,,Mad River Lumber,,,Sawmill,Logs,Fence Boards,redwood,,(707) 822-4384,Arcata,CA,95521,Larry Swan,,,9016
40.899619,-124.075427,Humboldt Flakeboard Particle Bd.,,,Liquidated,,Humboldt Flakeboard Panels,,,Composite Panel,Chips,Particleboard,,,(707) 825-1800,Arcata,CA,95521,Larry Swan,,,9015
40.901169,-124.071143,Arcata Forest Products Sawmill,Bob Figas Owner,,Open,,,,"Britt Lumber, Subsidiary of PALCO",Sawmill,Logs,Lumber,"RW, DF",,(707) 822-1779,Arcata,CA,95518,Larry Swan,,,9012
40.911424,-124.067932,Almquist Lumber Co,Eric Almquist Owner,,Open,,,,,Small Production Mill,Logs,Lumber,Hardwood,,707-825-8880,Arcata,CA,95521,Rick Satomi,"Montana Dataset 2,012",,9010
40.535639,-124.066792,Carlotta Lumber Company,,,Closed,1986,,,,Sawmill,Logs,,,,,Carlotta,CA,,,,,9178
40.535207,-124.066696,Pacific Lumber Company,,,Closed,2010,,,,Sawmill,Logs,Lumber,,,,Carlotta,CA,,Rick Satomi,Random Lengths,,9032
41.29238545,-124.0517323,California Redwood Company (Orick),Parent company green diamond,,Liquidated,2009,"Arcata Forest Products, Arcata Redwood Company, Simpson Timber",,,Sawmill,Logs,Lumber,,,,Orick,CA,,Larry Swan,,,9081
40.888293,-124.038073,Combs Lumber,,,Closed,1991,,,,Sawmill,Logs,Lumber,,,,Arcata,CA,95521,Rick Satomi,Random Lengths,,9014
41.527335,-124.023576,Simpson Timber (klamath),,,Closed,1987,,,,Sawmill,Logs,,,,,Klamath,CA,,,,,9225
40.900502,-124.020469,McNord Lumber Company,,,Closed,1976,,,,Sawmill,Logs,,,,,Arcata,CA,95521,,,,9165
40.899185,-124.01923,Blue Lake Forest Products,,,Closed,2003,,,,Sawmill,Logs,Lumber,,,,McKinleyville,CA,,Rick Satomi,Random Lengths,,9076
40.902343,-124.018458,Trend Lumber,,,Closed,1979,"Tidewater Lumber, Bonnie Sales",,,Sawmill,Logs,,,,,Arcata,CA,95521,,,,9138
40.877484,-123.992778,Mcintosh Lumber,,,Closed,1980,,,,Sawmill,Logs,,,,,Blue Lake,CA,,,,,9171
40.87184621,-123.9632726,California Redwood Company (Korbel),California Redwood Company,Terry  Ricky Productions Manager,Closed,2015,"Simpson Timber Co., Korbel, CA",,"Simpson Timber Co, parent company green diamond",Sawmill,Logs,Lumber,"Douglas-fir, Redwood",,707-268-3000,Arcata,CA,95518,Larry Swan,,,9013
40.396941,-123.941662,Eel River Sawmills,,,Closed,1987,,,,Sawmill,Logs,,,,,Fortuna,CA,,,,,9278
40.397451,-123.940738,Eel River (Redcrest),,,Closed,2001,,,,Sawmill,Logs,Lumber,,,,Redcrest,CA,,Rick Satomi,Random Lengths,,9096
40.26599,-123.873742,Georgia Pacific,,,Closed,1980,Morrison & Jackson,,,Sawmill,Logs,,,,,Myers Flat,CA,,,,,9152
39.444586,-123.810007,Georgia Pacific,,,Closed,2002,,,,Sawmill,Logs,Lumber,,,,Ft. Bragg,CA,,,,,9053
39.383489,-123.806113,Mendocino Forest Products (Fort Bragg),,,Closed,2004,"Georgia Pacific, Louisiana Pacific",,,Sawmill,Logs,Lumber,,,,Ft. Bragg,CA,,Rick Satomi,Random Lengths,,9054
39.964841,-123.796843,Coombs Lumber,,,Closed,1974,,,,Sawmill,Logs,,,,,Piercy,CA,,,,,9249
41.081114,-123.690886,Masonite (Hoopa),,,Closed,1980,Humboldt Fir,,,Sawmill,Logs,,,,,Hoopa,CA,,,,,9150
42.10528814,-123.6787754,Rough & Ready Lbr. Co.,Rough & Ready Lbr. Co.,"Link Phillippi, President/ Co-owner",Open,,,,,Sawmill,Logs,Lumber,"PP, DF (no WF or IC)",,(541) 592-3116,Cave Junction,OR,97523,Larry Swan,,,9033
41.034418,-123.655912,Cal Pacific Manufacturing (Hoopa),,,Closed,1983,,,,Sawmill,Logs,,,,,Hoopa,CA,,,,,9222
39.65411548,-123.6269559,Harwood Products (Branscomb),,Jim Little Resource Manager,Liquidated,2008,"Harwood Forest Products, Branscomb, CA",,,Sawmill,Logs,Lumber,"Redwood, Douglas-fir, Hemlock",,707-984-6181,Branscomb,CA,95417,Larry Swan,,,9023
40.942856,-123.626234,Pilot Lumber,,,Closed,1991,,,,Sawmill,Logs,Lumber,,,,Willow Creek,CA,,Rick Satomi,Random Lengths,,9130
40.490737,-123.607094,Louisiana Pacific (Dinsmore),,,Closed,1978,LP,,,Sawmill,Logs,,,,,Dinsmore,CA,,,,,9146
40.158935,-123.602894,Louisiana Pacific (Alderpoint),,,Closed,1987,"Georgia Pacific, E.A. Reynolds Mill and Lumber",,,Sawmill,Logs,,,,,Alderpoint,CA,,,,,9137
40.884553,-123.600023,Carolina California Plywood (Salyer),,,Closed,1977,,,,Sawmill,Logs,,,,,Salyer,CA,,,,,9260
39.674002,-123.505147,Philo Lumber (Laytonville),,,Closed,1983,,,,Sawmill,Logs,,,,,Laytonville,CA,,,,,9228
40.639,-123.491,Hyampom Lumber,,,Closed,1983,,,,Sawmill,Logs,,,,,Hyampom,CA,,,,,9223
40.806801,-123.474496,Stone Forest Products (Burnt Ranch),Stone Forest Products,,Closed,1989,Southwest Forest Industries,,Southwest Forest Industries,Sawmill,Logs,Lumber,,,,Burnt Ranch,CA,,Rick Satomi,Random Lengths,,9028
39.066464,-123.442657,Redwood Empire Philo Sawmill,RJS Timber Products,Zeke Sechrest Resource Manager,Closed,1995,,,,Sawmill,Logs,Lumber,,,(707) 895-9600,Philo,CA,95466,Larry Swan,,,9004
39.063991,-123.439141,Philo Lumber (Philo),,,Closed,1987,,,,Sawmill,Logs,,,,,Philo,CA,,,,,9248
