latitude,longitude,RecID,MapLabel,Status,YearClosed,Name_Current,Names_Prior,MillType,Products,Feedstock,Species,LogConsumption,FTE,AnnualProduction,Owner_Current,Owner_Prior,Note,StAddr,CIty,Phone1,State,Zip,RecordEditor,SourceNotes,Updated
42.052701,-124.290912,58,South Coast Lbr. Veneer & Plywood and SouthCoast Lbr. Dimention & Stud Sawmills,Open,,South Coast Lbr. Veneer & Plywood and SouthCoast Lbr. Dimention & Stud Sawmills,,,,,,,,,,,,,,,,,Larry Swan,,
40.805776213,-124.195803253,5,Evergreen Pulp,Closed,,Evergreen Pulp,"Evergreen Pulp, Samoa, CA",,,,,,,,,,,,,,,,Larry Swan,,
40.797190142,-124.18156458,17,Schmidbauer Lbr. Co. Sawmill,Open,,Schmidbauer Lbr. Co. Sawmill,Schmidbauer Lumber,sawmill,,,,,,,,,,839 West Washington Street, Eureka,(707) 443-7089,CA,95501,Larry Swan,,
41.753480059,-124.175392196,6,Hambro Forest Products Particle Bd.,Closed,,Hambro Forest Products Particle Bd.,"Hambro Forest Products, Inc.",composite panel,particle board,,,,,,,,"According to John Shelly, closed in 2012.",445 Elk Valley Road, Crescent City,(707) 464-6131,CA,95531,Larry Swan,,
40.865847999,-124.152849,22,SPI Arcata Sawmill,Open,,SPI Arcata Sawmill,Sierra Pacific Industries,sawmill,,,,,,,Jerry Kelly Division Mgr,," Apparently SPI has a new rule to not participate in surveys, but Todd was able to convince SPI of worthiness of our report",2593 New Navy Base Road, Arcata,(707) 443-3111,CA,95521,Larry Swan,,
40.483614999,-124.102748,12,Humboldt Redwood Co. Sawmill,Open,,Humboldt Redwood Co. Sawmill,"Pacific Lumber Co., Scotia, CA",sawmill,,,,,,,Mike Cameron Sales Manager,,,PO Box 37,Scotia,707-764-4341,CA,95565,Larry Swan,,
40.885947999,-124.081698,10,Mad River Lbr. Sawmill,Open,,Mad River Lbr. Sawmill,Mad River Lumber,sawmill,,,,,,,,, hung up (or was disconnected)-Mostly fencing.  Stopped in July 2013-Seemed cooperative,2935 Saint Louis Road, Arcata,(707) 822-4384,CA,95521,Larry Swan,,
40.899618999,-124.075427,8,Humboldt Flakeboard Particle Bd.,Liquidated,,Humboldt Flakeboard Particle Bd.,Humboldt Flakeboard Panels,composite panel,particle board,,,,,,,,"According to John Shelly, closed in 2010.",4700 West End Road, Arcata,(707) 825-1800,CA,95521,Larry Swan,,
40.899932,-124.074716,74,Hambro Forest Products-Humboldt Flakeboard Panels,Closed,,Hambro Forest Products-Humboldt Flakeboard Panels,,5,,,,,,,Charlie Comptom Sales Manager,," Confirmed inactive by newsclips and phone call to main line. Closed in 2010 according to contacts at UC Berkeley (Peter Tittman, John Shelley)",4700 West End Rd,Arcata,,CA,95521,Rick Satomi,"Montana Dataset 2,012",
40.901168999,-124.071143,13,Arcata Forest Products Sawmill,Open,,Arcata Forest Products Sawmill,"Pacific Lumber Co., Arcata, CA",sawmill,,,,,,,Bob Figas Owner,Britt Lumber,bob.figas@sbcglobal.net Closed in 2007; purchased and became Arcata Forest Products,PO Box 248,Arcata,(707) 822-1779,CA,95518,Larry Swan,,
