Name,Status,YearClosed,Names_Prior_Manual,MillType,Feedstock,Products,Species,City,State,Zip,PrimaryKey,latitude,longitude
Eastlick Mills,Closed,1971,,Sawmill,Logs,,,Fort Jones,CA,,9204,41.607549,-122.840245
McKeen Sawmill,Closed,1971,,Sawmill,Logs,,,Highland,CA,,9220,34.110925,-117.188417
Diebold Mills,Closed,1971,,Sawmill,Logs,,,Smith River,CA,,9267,41.790809,-124.187742
High Sierra Pine Mills,Closed,1971,,Sawmill,Logs,,,Twain,CA,,9276,40.023359,-121.06528
American Forest Products (Wilseyville),Closed,1971,,Sawmill,Logs,,,Wilseyville,CA,,9287,38.379808,-120.529139
Placerville Lumber Company,Closed,1972,,Sawmill,Logs,,,Smithflat,CA,,9269,38.738067,-120.752848
Paul Bunyan Lumber (Susanville),Closed,1972,,Sawmill,Logs,,,Susanville,CA,96130 ?,9273,40.412303,-120.639541
Lampe Lumber,Closed,1972,,Sawmill,Logs,,,Tulare,CA,,9275,36.194776,-119.343654
Sharp Lumber,Closed,1972,,Sawmill,Logs,,,Yreka,CA,96097,9291,41.708698,-122.632487
Brightwood Lumber,Closed,1973,,Sawmill,Logs,,,Arcata,CA,95521,9164,40.865432,-124.151866
Santa Cruz Lumber,Closed,1973,,Sawmill,Logs,,,Boulder Creek,CA,,9174,37.215181,-122.175363
American Forest Products (Dorris),Closed,1973,,Sawmill,Logs,,,Dorris,CA,,9199,41.960639,-121.921862
Di Giorgio Corporation (Auburn),Closed,1974,Cal Ida Lumber,Sawmill,Logs,,,Auburn,CA,,9139,38.931531,-121.089078
"Hjertager, E.J. & Son Lumber",Closed,1974,,Sawmill,Logs,,,Callahan,CA,,9176,41.318858,-122.80933
Barnes Lumber,Closed,1974,,Sawmill,Logs,,,Cloverdale,CA,95425 ?,9183,38.819887,-123.020247
B&R Sawmills Inc,Closed,1974,,Sawmill,Logs,,,Crescent City,CA,,9190,41.791097,-124.18658
Idaco Lumber,Closed,1974,,Sawmill,Logs,,,Healdsburg,CA,,9218,38.644977,-122.871164
Wetsel-Oviatt Lumber,Closed,1974,,Sawmill,Logs,,,Omo Ranch,CA,,9242,38.581136,-120.565476
Coombs Lumber,Closed,1974,,Sawmill,Logs,,,Piercy,CA,,9249,39.964841,-123.796843
Yancey Lumber Company,Closed,1974,,Sawmill,Logs,,,Tollhouse,CA,,9274,37.021679,-119.401732
Georgia Pacific (Ukiah),Closed,1974,,Sawmill,Logs,,,Ukiah,CA,95482,9280,39.184984,-123.204469
Hollow Tree Lumber,Closed,1974,,Sawmill,Logs,,,Ukiah,CA,95482,9281,39.17842,-123.230076
Emmert Forest Products,Closed,1975,,Sawmill,Logs,,,Clovis,CA,,9188,36.871047,-119.747674
B&T Lumber,Closed,1975,,Sawmill,Logs,,,Covelo,CA,,9189,39.79271,-123.247404
Enevoldsen Lumber,Closed,1975,,Sawmill,Logs,,,Fortuna,CA,95540 ?,9208,40.539708,-124.146753
Fruit Growers Supply,Closed,1975,,Sawmill,Logs,,,Hilt,CA,,9221,41.994425,-122.631222
Heron Mills,Closed,1975,,Sawmill,Logs,,,Redding,CA,96001 ?,9254,40.587103,-122.3915
Diamond National (Stirling City),Closed,1975,,Sawmill,Logs,,,Stirling City,CA,,9272,39.905759,-121.524087
All-Brite Lumber Company (Arcata),Closed,1976,,Sawmill,Logs,,"Redwood, Douglas-fir",Arcata,CA,95521,9162,40.86811,-124.092833
McNord Lumber Company,Closed,1976,,Sawmill,Logs,,,Arcata,CA,95521,9165,40.900502,-124.020469
Sonoma Wood Products,Closed,1976,,Sawmill,Logs,,,Healdsburg,CA,,9219,38.607239,-122.868822
State Box Company,Closed,1976,,Sawmill,Logs,,,Little Valley,CA,,9231,40.893913,-121.175403
Beaver Lumber,Closed,1976,,Sawmill,Logs,,,Santa Clara,CA,,9262,37.360778,-121.94316
SPI Siskiyou Sawmill,Closed,1976,,Sawmill,Logs,,,Yreka,CA,96097,9289,41.732535,-122.59341
Pozun Brothers,Closed,1977,,Sawmill,Logs,,,Fields Landing,CA,,9202,40.726151,-124.219677
Crown Redwood,Closed,1977,,Sawmill,Logs,,,Fortuna,CA,95540 ?,9206,40.596786,-124.160365
Louisiana Pacific,Closed,1977,Cheney-Grant Lumber,Sawmill,Logs,,,Pondosa,CA,,9153,41.201179,-121.686068
Carolina California Plywood (Salyer),Closed,1977,,Sawmill,Logs,,,Salyer,CA,,9260,40.884553,-123.600023
Chenoweth Lumber Company,Closed,1978,,Sawmill,Logs,,,Bodega,CA,,9172,38.354315,-122.980987
Louisiana Pacific (Dinsmore),Closed,1978,LP,Sawmill,Logs,,,Dinsmore,CA,,9146,40.490737,-123.607094
Robinson Timber,Closed,1978,,Sawmill,Logs,,,Grass Valley,CA,95945,9216,39.246695,-121.028033
