Title,Content,Category,Type,Download_Link
Heat Treatment of SOD Infected Wood,"""Preliminary observations of heat treatment to control Phytophthora ramorum in infected wood species"" presented at Sudden Oak Death Science Symposium III. March 5-9, 2007, Santa Rosa, CA",Hardwood,SOD,"<a href=https://googledrive.com/host/0BzwsVf_VMR5JZ2RMcFkxY2pQZzQ><div style=""height:100%;width:100%"">https://googledrive.com/host/0BzwsVf_VMR5JZ2RMcFkxY2pQZzQ</div></a>"
Tanoak Manufacturing Process,"A slideshow of the process of tanoak production, shown at The Fifth Sudden Oak Death Science Symposium in Petaluma, CA from June 19-22.",Hardwood,SOD,"<a href=https://googledrive.com/host/0BzwsVf_VMR5JS3hxajlqM1JfUFU><div style=""height:100%;width:100%"">https://googledrive.com/host/0BzwsVf_VMR5JS3hxajlqM1JfUFU</div></a>"
Oak Woodland as a Potential Resource,An examination of oak woodland as a potential resource for higher-value wood production,Hardwood,,"<a href=https://googledrive.com/host/0BzwsVf_VMR5JS2pMRE5rekRLY3M><div style=""height:100%;width:100%"">https://googledrive.com/host/0BzwsVf_VMR5JS2pMRE5rekRLY3M</div></a>"
Hardwood Handbook - Chapter 6,Basic Drying Methods,Hardwood,Reference,"<a href=https://googledrive.com/host/0BzwsVf_VMR5JeDI0UkpzOFRmY00><div style=""height:100%;width:100%"">https://googledrive.com/host/0BzwsVf_VMR5JeDI0UkpzOFRmY00</div></a>"
Hardwood Handbook - Chapter 8,Defects and Quality Control,Hardwood,Reference,"<a href=https://googledrive.com/host/0BzwsVf_VMR5JS2VOd01Uai1ZMkk><div style=""height:100%;width:100%"">https://googledrive.com/host/0BzwsVf_VMR5JS2VOd01Uai1ZMkk</div></a>"
Understanding California Hardwoods,"Discussion of the important physical, mechanical and woodworking properties of some common California hardwood species. Includes information on wood drying principles and practice and a discussion of wood boring insects sometimes encountered by the woodworker. Presented to the Bay Area Woodworkers Association on October 17, 2013.",Hardwood,,"<a href=https://googledrive.com/host/0BzwsVf_VMR5JLXh5WXdHYmpTUFk><div style=""height:100%;width:100%"">https://googledrive.com/host/0BzwsVf_VMR5JLXh5WXdHYmpTUFk</div></a>"
An Examination of the Oak Woodland as a Potential Resource for Higher-Value Wood Products,"In 'Proceedings of a symposium on oak woodland: ecology, management, and urban interface issues; 19-22 March 1996: San Luis Obispo, CA. (General Technical Report PSW-GTR-160, Albany, CA: US Department of Agriculture, Forest Service. Pacific Southwest Research Station.)",Hardwood,,"<a href=https://googledrive.com/host/0BzwsVf_VMR5JaG5CSnljMWZMWTA><div style=""height:100%;width:100%"">https://googledrive.com/host/0BzwsVf_VMR5JaG5CSnljMWZMWTA</div></a>"
Evaluating the survival of Phytophthora ramorum in Firewood,In this follow-up project we specifically analyzed the survival of Phytophthora ramorum in firewood as it was thoroughly air-dried (seasoning) to a final moisture content of 15% MC. The aim was to evaluate the risk of spreading SOD through the distribution of firewood and fuel wood.,Hardwood,SOD,"<a href=https://googledrive.com/host/0BzwsVf_VMR5JV2duWjhIUDREa2s><div style=""height:100%;width:100%"">https://googledrive.com/host/0BzwsVf_VMR5JV2duWjhIUDREa2s</div></a>"
"Developing a Drying Schedule for a ""new-to-You"" Species","Information and techniques required for developing a drying schedule for a ""new-to-you"" wood species, using Tanoak in a detailed example.",Hardwood,,"<a href=https://googledrive.com/host/0BzwsVf_VMR5JSTFGSWs5NWVJT3c><div style=""height:100%;width:100%"">https://googledrive.com/host/0BzwsVf_VMR5JSTFGSWs5NWVJT3c</div></a>"
Hardwood Handbook - Chapter 7,Kiln Structures to House Lumber Driers,Hardwood,Reference,"<a href=https://googledrive.com/host/0BzwsVf_VMR5JeVZmLTVQU1dfY0E><div style=""height:100%;width:100%"">https://googledrive.com/host/0BzwsVf_VMR5JeVZmLTVQU1dfY0E</div></a>"
